,name,address,extAddress,locality,postalCode,country,openingDays,openingHours
244,Nordtvet Public Bath,Gaardsveien 4,[],Oslo,['0952'],['Norway'],[],[]
245,,,[],,[],[],[],[]
246,,,[],,[],[],[],[]
247,,,[],,[],[],[],[]
248,CAK Center for African Culture,Pilestredet 75 C,[],Oslo,['0354'],['Norway'],[],[]
249,Voienvolden Manor,Maridalsveien 120,[],Oslo,['461'],['Norway'],[],[]
250,Visitors Centre,Forsvarsbygg,[],Oslo,['0103'],['Norway'],[],[]
251,Russian Orthodox Church,Akersveien 33,[],Oslo,['0177'],['Norway'],[],[]
252,Nho Visitor's Centre,Middelthuns gate 27,[],Oslo,['0368'],['Norway'],[],[]
253,Gallery Voksenaasen,Ullveien 4,[],Oslo,['0791'],['Norway'],[],[]
254,Milestone Jerusalem: Oslo,Akersbakken 30,['St.Hanshaugen'],Oslo,['0172'],['Norway'],[],[]
255,Blomqvist Auction House Gallery,Tordenskiolds gate 5,[],Oslo,['0160'],['Norway'],['\nMon - Fri\n'],['10:00 am - 5:00 pm']
256,Nordre Skoyen Manor,"Skoyenbakken, Bryn",[],Oslo,['667'],['Norway'],[],[]
257,Kampen Church,Boegata 1,[],Oslo,['0655'],['Norway'],[],[]
258,Boler Church,Boelerlia 3B,[],Oslo,['0691'],['Norway'],"['\nSun\n', '\nMon - Fri\n']","['11:00 am - 12:00 pm', '10:00 am - 2:00 pm']"
259,Oslo Kunstforening,Raadhusgata 19,[],Oslo,['0158'],['Norway'],[],[]
260,Sondre Aas Farm,Rosenholmveien 11,[],Oslo,['1252'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['8:00 am - 8:00 pm', '8:00 am - 4:00 pm']"
261,Utopia Retro Modern,Kirkeveien 72,[],Oslo,['0364'],['Norway'],[],[]
262,Nordtvet Farm,Gardsveien 1-3,[],Oslo,['0952'],['Norway'],[],[]
263,Kunstnerforbundet,Kjeld Stubs gate 3,[],Oslo,['0160'],['Norway'],[],[]
264,Lillomarka Wilderness Area,Lillomarka,[],Oslo,['957'],['Norway'],[],[]
265,Galleri Kampen,Norderhovgata 30,[],Oslo,['0654'],['Norway'],[],[]
266,,,[],,[],[],[],[]
267,Intercultural Museum,Toeyenbekken 5,[],Oslo,['0188'],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
268,,,[],,[],[],[],[]
269,,,[],,[],[],[],[]
270,,,[],,[],[],[],[]
271,,,[],,[],[],[],[]
272,Frogner Stadion,Middelthuns gate 26,[],Oslo,['0368'],['Norway'],[],[]
273,Ruins of Clemenskirken,Sorenga,[],Oslo,['192'],['Norway'],[],[]
274,Sinsen Church,Loerenveien 13,[],Oslo,['0585'],['Norway'],[],[]
275,Jettegryten,Bjerringbakken 7,[],Oslo,['1177'],['Norway'],[],[]
276,Lambertseter Church,Langboelgen 33,[],Oslo,['1150'],['Norway'],[],[]
277,Vestre Aker Church,Ullevaalsveien 117 B,[],Oslo,['0359'],['Norway'],[],[]
278,Ice Skating Museum (Skoytemuseet),Middelthunsgate 26,[],Oslo,[],['Norway'],"['\nSun\n', '\nTue\n', '\nThu\n']","['10:00 am - 2:00 pm', '10:00 am - 2:00 pm', '10:00 am - 2:00 pm']"
279,,,[],,[],[],[],[]
280,,,[],,[],[],[],[]
281,,,[],,[],[],[],[]
282,,,[],,[],[],[],[]
283,,,[],,[],[],[],[]
284,,,[],,[],[],[],[]
285,,,[],,[],[],[],[]
286,,,[],,[],[],[],[]
287,,,[],,[],[],[],[]
288,Oslo Theater Museum,Frognerveien 67,[],Oslo,['0266'],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
289,Norwegian Museum of Magic,"Munkedamsveien 65 B, 3 etg.",[],Oslo,['270'],['Norway'],[],[]
290,Valkyrien Kaffe og Tehus,Jacob Aalls gate 17 B,[],Oslo,['0364'],['Norway'],"['\nMon - Fri\n', '\nSat\n']","['8:30 am - 5:00 pm', '10:00 am - 4:00 pm']"
291,Sofienberg Church,Rathkes gate 18,[],Oslo,['0558'],['Norway'],[],[]
292,Kvadraturen Neighbourhood,Kvadraturen,[],Oslo,['0151'],['Norway'],[],[]
293,Nordstrand Church,Ekebergveien 238,[],Oslo,['1166'],['Norway'],[],[]
294,,,[],,[],[],[],[]
295,,,[],,[],[],[],[]
296,,,[],,[],[],[],[]
297,,,[],,[],[],[],[]
