,name,address,extAddress,locality,postalCode,country,openingDays,openingHours
67,Oslo City Shoppingcenter,Stenersgata 1,[],Oslo,['0050'],['Norway'],[],[]
68,Huk Paradisbukta Beach,Bygdoy,[],Oslo,['102'],['Norway'],[],[]
69,Tjuvholmen Neighbourhood,Tjuvholmen,[],Oslo,['0252'],['Norway'],[],[]
70,The Holocaust Center,Villa Grande Huk Aveny 56,"['Ta 30-bussen til ""Bygdøhus""']",Oslo,['0287'],['Norway'],"['\nMon - Fri\n', '\nSat - Sun\n']","['10:00 am - 5:00 pm', '11:00 am - 5:00 pm']"
71,Baerums Verk,Verksgt. 15,[],Oslo,['2004'],['Norway'],[],[]
72,Soerenga Public Pool,Soerengkaia,['Soerenga'],Oslo,['0194'],['Norway'],[],[]
73,,,[],,[],[],[],[]
74,,,[],,[],[],[],[]
75,City Museum (Oslo Bymuseum),Frognerveien 67,[],Oslo,['0266'],['Norway'],['\nTue - Sun\n'],['11:00 am - 4:00 pm']
76,She Lies,Kirsten Flagstads Pl. 1,[],Oslo,['0150'],['Norway'],[],[]
77,Popsenteret,Schous kulturbryggeri,"['Trondheimsveien 2, bygg T']",Oslo,['0560'],['Norway'],[],[]
78,Barcode Oslo,Dronning Eufemias Gate,[],Oslo,['0191'],['Norway'],[],[]
79,Old Aker Church,Akersbakken 26,[],Oslo,[],['Norway'],[],[]
80,Oslo Transport Museum,Gardeveien 15,[],Oslo,['0363'],['Norway'],[],[]
81,Peer Gynt Sculpture Park,Peter Mollers vei / Lorenvangen,[],Oslo,['512'],['Norway'],[],[]
82,Frognerparken,,[],Oslo,[],['Norway'],[],[]
83,,,[],,[],[],[],[]
84,The Mini Bottle Gallery,Kirkegata 10,[],Oslo,['0153'],['Norway'],[],[]
85,National Museum - Museum of Contemporary Art,Bankplassen 4,[],Oslo,['0151'],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['11:00 am - 5:00 pm', '11:00 am - 7:00 pm', '11:00 am - 5:00 pm', '12:00 pm - 5:00 pm']"
86,Changing of the Guard at the Royal Palace,Henrik Ibsens gate 1,[],Oslo,['0010'],['Norway'],[],[]
87,Vulkan Neighbourhood,Vulkan,['Fom Maridalsveien to Moellerveien at Gruenerloekka'],Oslo,['0175'],['Norway'],[],[]
88,Bogstad Gard,Sorkedalsvn 826,[],Oslo,[],['Norway'],['\nTue - Sun\n'],['12:00 pm - 4:00 pm']
89,Oslo Konserthus,Munkedamsveien 14,[],Oslo,['0250'],['Norway'],[],[]
90,Oscarshall,Oscarshallveien 805,[],Oslo,['287'],['Norway'],[],[]
91,Ostensjovannet Lake,Ostensjo,[],Oslo,['690'],['Norway'],[],[]
92,St. Hanshaugen,Ullevalsveien,['Geitmyrsveien'],Oslo,['171'],['Norway'],[],[]
93,Waterfall at Molla,Grunerlokka,['Sor av Treschows gate /bru'],Oslo,['0150'],['Norway'],[],[]
94,National Library (Nasjonalbiblioteket),Henrik Ibsens gate 110,[],Oslo,['0255'],['Norway'],"['\nMon - Fri\n', '\nSat\n']","['9:00 am - 7:00 pm', '9:00 am - 2:00 pm']"
95,The Norwegian Theater (Det Norske Teatret),Kristian Iv's gate 8,[],Oslo,['0164'],['Norway'],[],[]
96,Oslo Jewish Museum,Calmeyers gate 15B,[],Oslo,['0183'],['Norway'],"['\nSun\n', '\nTue\n', '\nThu\n']","['11:00 am - 4:00 pm', '10:00 am - 3:00 pm', '2:00 pm - 7:00 pm']"
97,Holmenkollen Chapel,Holmenkollveien 142,[],Oslo,['0791'],['Norway'],[],[]
98,,,[],,[],[],[],[]
99,Stortorvet,Stortorget 1,[],Oslo,['2004'],['Norway'],[],[]
100,National Museum - Architecture,Bankplassen 3,[],Oslo,['0151'],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['10:00 am - 6:00 pm', '10:00 am - 7:00 pm', '10:00 am - 6:00 pm', '11:00 am - 5:00 pm']"
101,Litteraturhuset - The House of Literature,Wergelandsveien 29,[],Oslo,['0167'],['Norway'],[],[]
102,,,[],,[],[],[],[]
103,,,[],,[],[],[],[]
104,Our Saviour's Memorial Cemetery,Akersbakken 32,[],Oslo,['0172'],['Norway'],[],[]
105,,,[],,[],[],[],[]
106,Statue of Franklin D. Roosevelt,Raadhusplassen 1,[],Oslo,['0037'],['Norway'],[],[]
107,,,[],,[],[],[],[]
108,Medieval Ruin Park,Middelalderparken 0150,[],Oslo,['192'],['Norway'],[],[]
109,EKT Rideskole og Husdyrpark,Ekebergveien 99,[],Oslo,['1181'],['Norway'],['\nSun - Sat\n'],['10:00 am - 5:00 pm']
110,,,[],,[],[],[],[]
111,Birkelunden,Grunerlokka,[],Oslo,['555'],['Norway'],[],[]
112,Oslo-Fergene,Raadhusbrygge 4 1,[],Oslo,['0160'],['Norway'],[],[]
113,Vestre Gravlund,Soerkedalsveien 66,[],Oslo,['0369'],['Norway'],[],[]
114,Film Museum,Dronningens gate 16,[],Oslo,['0152'],['Norway'],[],[]
115,,,[],,[],[],[],[]
116,International Children's Art Museum,Lille Froeens vei 4,[],Oslo,['0371'],['Norway'],[],[]
117,The Sneak Peak,Tjuvholmen Alle,['Albert Nordengens plass'],Oslo,['0252'],['Norway'],['\nSat - Sun\n'],['12:00 pm - 6:00 pm']
118,,,[],,[],[],[],[]
119,Stenersen Museum,Munkedamsveien 15,[],Oslo,['0250'],['Norway'],"['\nTue - Wed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['11:00 am - 4:00 pm', '11:00 am - 7:00 pm', '11:00 am - 4:00 pm', '11:00 am - 5:00 pm']"
120,Lindoeya Island,Oslo Fjord,[],Oslo,[],['Norway'],[],[]
121,The Vantage Point Ekeberg,Oslo - Ekeberg,['Brannfjellvein'],Oslo,['0193'],['Norway'],[],[]
122,,,[],,[],[],[],[]
123,Norwegian Centre for Design and Architecture,Hausmanns gate 16,[],Oslo,['0182'],['Norway'],"['\nWed - Thu\n', '\nFri - Tue\n']","['10:00 am - 8:00 pm', '10:00 am - 5:00 pm']"
124,Langoeyene Island,Oslo Fjord,[],Oslo,['102'],['Norway'],[],[]
125,Vestkant Torget Antique Market,Vestkanttorvet,[],Oslo,[],['Norway'],[],[]
126,Street Art at Ingens gate,Ingens gate,[],Oslo,[],['Norway'],[],[]
127,Svartdalsparken,Ekeberg,[],Oslo,['0657'],['Norway'],[],[]
128,Norwegian Customs Museum,Tollbugata 1A,[],Oslo,['0152'],['Norway'],[],[]
129,Sagene Church,Kirketorget,[],Oslo,['0463'],['Norway'],[],[]
130,Nordre Lindeberg Farm,Stroemsveien 350,[],Oslo,['1081'],['Norway'],[],[]
131,,,[],,[],[],[],[]
132,Kragstotten Sculpture & Viewpoint,Holmenkollen,[],Oslo,['787'],['Norway'],[],[]
133,Akerselva Miljopark,Akerselva,[],Oslo,['0134'],['Norway'],[],[]
134,,,[],,[],[],[],[]
135,,,[],,[],[],[],[]
136,Norwegian Nobel Institute,Drammensveien 19,[],Oslo,['0255'],['Norway'],[],[]
137,GlasMagasinet,Stortorvet,['9'],Oslo,['0155'],['Norway'],[],[]
138,Bogstadvannet Lake,Sorkedalen,[],Oslo,['102'],['Norway'],[],[]
139,,,[],,[],[],[],[]
140,Freia Sjokoladefabrikk,Johan Throne Holsts Pl 1,[],Oslo,['0566'],['Norway'],[],[]
141,,,[],,[],[],[],[]
142,Kulturkirken Jakob,Hausmanns gate 14,[],Oslo,['0182'],['Norway'],[],[]
143,Ingierstrand Beach,Oslo Syd,[],Oslo,['1083'],['Norway'],[],[]
144,The Troll Sculpture Kollentrollet,Gratishaugen,[],Oslo,['787'],['Norway'],[],[]
145,"Rock Carvings, Ekeberg",Sjomannskolen (Maritime High School),[],Oslo,['250'],['Norway'],[],[]
146,,,[],,[],[],[],[]
147,,,[],,[],[],[],[]
148,Gressholmen Island,Oslofjorden,[],Oslo,['102'],['Norway'],[],[]
149,Ullevaal Stadion,Sognsveien 75 A,[],Oslo,['0855'],['Norway'],[],[]
150,St. Olav's Catholic Chuch,Akersveien 1,[],Oslo,['0177'],['Norway'],[],[]
151,Valle Hovin Ice-Skating Rink,Innspurten 1,[],Oslo,['663'],['Norway'],[],[]
152,Ski & Guide,Tryvannsveien 61,[],Oslo,['0791'],['Norway'],[],[]
153,Sofienberg Park,Helgesens gate / Sofienberggata,[],Oslo,['552'],['Norway'],[],[]
154,Oslo Nye Teater,Rosenkrantz' gate 10,[],Oslo,['0159'],['Norway'],[],[]
155,Basarhallene,Kirkeristen,[],Oslo,['151'],['Norway'],[],[]
156,The Beer Academy,Thorvald Meyers gate 71,['Entrance Nordre Gate'],Oslo,['0552'],['Norway'],['\nMon - Fri\n'],['10:00 am - 4:00 pm']
157,Ovresetertjern Lake,Voksenkollen/Tryvann,[],Oslo,['791'],['Norway'],[],[]
158,Kunstnernes Hus,Wergelandsveien 17,[],Oslo,['0167'],['Norway'],['\nTue - Sun\n'],['11:00 am - 6:00 pm']
159,Rush Norway Trampoline park,Rosenholmveien 22,[],Oslo,['1252'],['Norway'],[],[]
160,,,[],,[],[],[],[]
161,Toyenbadet Public Bath,Helgesens gate 90,[],Oslo,['0563'],['Norway'],"['\nMon\n', '\nTue\n', '\nWed\n', '\nThu\n', '\nFri\n', '\nSat - Sun\n']","['7:00 am - 7:00 pm', '10:30 am - 7:00 pm', '7:00 am - 7:00 pm', '10:30 am - 7:00 pm', '7:00 am - 7:00 pm', '9:00 am - 3:00 pm']"
162,Spikersuppa Ice-Skating Rink,"Spikersuppa, Karl Johan",[],Oslo,['0162'],['Norway'],[],[]
163,Chat Noir,Klingenberggata 5,[],Oslo,['0161'],['Norway'],[],[]
164,Studenterlunden Park,Johanne Dybwards Plass,[],Oslo,['0161'],['Norway'],[],[]
165,Villa Stenersen,"Tuengen alle 10 C, Vinderen",[],Oslo,['374'],['Norway'],[],[]
166,Steen & Strom Department Store,Nedre Slottsgate 8,[],Oslo,['0153'],['Norway'],[],[]
167,Gronland Church,Groenlandsleiret 34,[],Oslo,['0190'],['Norway'],[],[]
168,St. Hallvard Church,Enerhauggata 4,[],Oslo,['0651'],['Norway'],[],[]
169,Central Jam-e-Mosque at Gronland,Aakebergveien 28 B,[],Oslo,['0650'],['Norway'],[],[]
170,Alnaelva,Alna,[],Oslo,[],['Norway'],[],[]
171,Uranienborg Church,Uranienborgveien 22 B,[],Oslo,['0258'],['Norway'],[],[]
172,Albin Upp Gallery & Art Cafe,Briskebyveien 42,[],Oslo,['259'],['Norway'],[],[]
173,Pushwagner Gallery,Tjuvholmen Alle 10,[],Oslo,['0252'],['Norway'],[],[]
174,Frogner Church,Bygdoey alle 36,[],Oslo,['0265'],['Norway'],[],[]
175,Christian Radich,Skur 32 / Akershusstranda,[],Oslo,['150'],['Norway'],['\nMon - Fri\n'],['8:00 am - 4:00 pm']
